	website	link	domain_score	page_score	link_type	anchor_text	first_seen	last_seen
0	http://yuandaqihuogongsi.b58b.com	http://chqhx.com/a/ydqh/104.html	0	0	Text	远大期货事件	2018-10-30	2019-03-05
1	http://yuandaqihuogongsi.b58b.com	http://dxqhx.com/a/ydqh/104.html	0	0	Text	远大期货事件	2018-10-30	2018-12-05
2	http://yuandaqihuogongsi.b58b.com	http://ydqhx.com/a/ydqh/104.html	0	0	Text	远大期货事件	2018-10-19	2019-06-15
3	http://yuandaqihuogongsi.b58b.com	http://yuandaqihuozs.com/a/ydqh/104.html	0	0	Text	远大期货事件	2019-01-23	2019-01-23
