company	webpage
teset	http://teset.com
test	http://test.com,http://test.pl,http://test.eu
aviva	http://aviva.com,http://aviva.pl,http://aviva.eu
scamwatch	http://scamwatch.eu
scamadviser	http://scamadviser.com
wtbitcoin	http://wtbitcoin.com
xenitfx	http://xenitfx.com
scamwatcher	http://scamwatcher.com,http://scamwatcher.org
